"Фототок I, В","Напряжение анода V, В",Корень из фототока √I
0.63,6.41,0.7937253933
0.604,4.829,0.7771743691
0.568,3.2,0.7536577473
0.59,3.63,0.7681145748
0.566,2.775,0.752329715
0.52,1.78,0.7211102551
0.45,1.141,0.6708203932
