"Фототок I, В","Напряжение анода V, В",Корень из фототока √I
0.604,6.88,0.7771743691
0.57,4.1,0.7549834435
0.588,5.34,0.7668115805
0.55,3.31,0.7416198487
0.518,2.311,0.7197221686
0.5,1.82,0.7071067812
0.47,1.36,0.68556546
