"Фототок I, В","Напряжение анода V, В",Корень из фототока √I
0.63,6.877,0.7937253933
0.57,2.485,0.7549834435
0.6,3.5,0.7745966692
0.62,4.734,0.7874007874
0.52,1.533,0.7211102551
0.48,1.055,0.692820323
