"Фототок I, В","Напряжение анода V, В",Корень из фототока √I
0.632,6.879,0.7949842766
0.61,4.628,0.7810249676
0.59,3.423,0.7681145748
0.576,2.887,0.7589466384
0.552,2.122,0.7429670248
0.425,0.723,0.6519202405
0.275,0.273,0.5244044241
